Ano;Mês;Código.IBGE.Município;Município;Densidade
2023;5;4100103;Abatiá;83,49675459
2022;3;4100103;Abatiá;82,55434783
2022;6;4100103;Abatiá;82,20108696
2019;11;4100103;Abatiá;86,42885879
2020;11;4100103;Abatiá;78,90118790
2022;2;4100103;Abatiá;82,73097826
2020;6;4100103;Abatiá;81,42684726
2020;8;4100103;Abatiá;80,06209503
2024;10;4100103;Abatiá;87,11318938
2022;7;4100103;Abatiá;85,69258390
2022;9;4100103;Abatiá;85,73401464
2022;11;4100103;Abatiá;85,63734291
2020;1;4100103;Abatiá;85,50355371
2020;3;4100103;Abatiá;84,87327343
2019;1;4100103;Abatiá;83,40215799
2022;8;4100103;Abatiá;85,56829167
2024;4;4100103;Abatiá;85,85830686
2022;4;4100103;Abatiá;82,77173913
2021;5;4100103;Abatiá;94,70842333
2021;6;4100103;Abatiá;95,36987041
2023;1;4100103;Abatiá;86,09308107
2022;1;4100103;Abatiá;82,89402174
2019;5;4100103;Abatiá;85,86652458
2024;7;4100103;Abatiá;85,62783661
2023;9;4100103;Abatiá;84,47728214
2020;10;4100103;Abatiá;79,21166307
2021;1;4100103;Abatiá;80,79103672
2023;3;4100103;Abatiá;84,46347190
2021;7;4100103;Abatiá;82,44565217
2020;5;4100103;Abatiá;82,04371731
2021;10;4100103;Abatiá;82,36413043
2024;8;4100103;Abatiá;86,13670747
2024;1;4100103;Abatiá;89,37991990
2023;2;4100103;Abatiá;85,09874327
2020;7;4100103;Abatiá;81,61447084
2023;8;4100103;Abatiá;83,37246237
2024;9;4100103;Abatiá;87,42951451
2023;11;4100103;Abatiá;86,81121392
2023;7;4100103;Abatiá;84,10440547
2019;6;4100103;Abatiá;86,38603970
2019;8;4100103;Abatiá;87,24688212
2021;2;4100103;Abatiá;81,88444924
2019;12;4100103;Abatiá;86,21429529
2020;2;4100103;Abatiá;85,27557999
2023;6;4100103;Abatiá;83,63485706
2019;9;4100103;Abatiá;86,93844710
2019;4;4100103;Abatiá;83,77514320
2023;4;4100103;Abatiá;83,17911891
2024;2;4100103;Abatiá;88,55130507
2024;6;4100103;Abatiá;85,11255351
2020;9;4100103;Abatiá;78,87419006
2021;8;4100103;Abatiá;82,66304348
2021;9;4100103;Abatiá;83,20652174
2019;10;4100103;Abatiá;86,56296098
2020;12;4100103;Abatiá;78,40172786
2022;10;4100103;Abatiá;86,09308107
2021;3;4100103;Abatiá;84,00377970
2021;12;4100103;Abatiá;83,42391304
2023;12;4100103;Abatiá;88,96561248
2022;5;4100103;Abatiá;82,40489130
2021;4;4100103;Abatiá;90,92872570
2021;11;4100103;Abatiá;82,54076087
2024;3;4100103;Abatiá;87,36362381
2019;7;4100103;Abatiá;87,26029234
2023;10;4100103;Abatiá;85,12636376
2024;11;4100103;Abatiá;88,74982808
2024;5;4100103;Abatiá;84,86396907
2019;2;4100103;Abatiá;83,58865059
2019;3;4100103;Abatiá;83,36219528
2020;4;4100103;Abatiá;83,21040633
2022;12;4100103;Abatiá;86,02402983
2019;11;4101101;Andirá;86,61075333
2024;2;4101101;Andirá;91,37237147
2021;7;4101101;Andirá;83,77137668
2022;10;4101101;Andirá;89,07334742
2021;9;4101101;Andirá;84,60878777
2022;2;4101101;Andirá;82,96927811
2022;7;4101101;Andirá;90,31592716
2023;4;4101101;Andirá;86,66364825
2019;12;4101101;Andirá;85,62228546
2023;1;4101101;Andirá;87,64463226
2024;7;4101101;Andirá;69,87128318
2023;5;4101101;Andirá;86,87493712
2023;2;4101101;Andirá;87,98671899
2019;2;4101101;Andirá;92,52197229
2020;2;4101101;Andirá;83,31586042
2023;11;4101101;Andirá;90,06439280
2021;3;4101101;Andirá;81,95824551
2022;8;4101101;Andirá;89,00794849
2024;6;4101101;Andirá;69,85109166
2024;10;4101101;Andirá;67,33685891
2019;8;4101101;Andirá;92,50661475
2021;10;4101101;Andirá;81,23896484
2021;1;4101101;Andirá;79,47405400
2021;12;4101101;Andirá;83,57968017
2024;9;4101101;Andirá;69,23767711
2022;4;4101101;Andirá;83,65534985
2021;5;4101101;Andirá;82,96697782
2022;1;4101101;Andirá;83,57968017
2019;4;4101101;Andirá;92,24887035
2022;11;4101101;Andirá;90,10966898
2020;1;4101101;Andirá;84,45908841
2021;6;4101101;Andirá;83,73983740
2024;5;4101101;Andirá;77,83982292
2019;1;4101101;Andirá;93,02348677
2021;11;4101101;Andirá;78,90833880
2023;12;4101101;Andirá;91,31703391
2020;4;4101101;Andirá;80,71489192
2022;12;4101101;Andirá;88,11751685
2019;5;4101101;Andirá;92,08997468
2023;8;4101101;Andirá;88,37408190
2022;3;4101101;Andirá;82,56570650
2024;11;4101101;Andirá;67,34683696
2020;10;4101101;Andirá;77,05510388
2024;1;4101101;Andirá;91,27175772
2020;11;4101101;Andirá;77,19060524
2024;8;4101101;Andirá;68,80862103
2023;7;4101101;Andirá;88,46463427
2020;9;4101101;Andirá;76,81923116
2019;6;4101101;Andirá;92,32831819
2019;3;4101101;Andirá;92,53686876
2024;3;4101101;Andirá;90,18009860
2019;9;4101101;Andirá;92,18710998
2023;6;4101101;Andirá;86,82463024
2022;6;4101101;Andirá;86,73258336
2021;8;4101101;Andirá;84,59869848
2019;10;4101101;Andirá;86,69062952
2023;3;4101101;Andirá;87,76033806
2020;3;4101101;Andirá;82,21257052
2020;6;4101101;Andirá;78,79287105
2020;12;4101101;Andirá;77,44655224
2020;8;4101101;Andirá;77,81290776
2020;7;4101101;Andirá;78,42015457
2023;9;4101101;Andirá;88,60549351
2020;5;4101101;Andirá;79,55169487
2019;7;4101101;Andirá;92,91598023
2024;4;4101101;Andirá;86,91015193
2021;2;4101101;Andirá;82,87162501
2021;4;4101101;Andirá;82,07367259
2022;9;4101101;Andirá;89,29469766
2023;10;4101101;Andirá;88,83187443
2022;5;4101101;Andirá;85,55718105
2022;2;4101903;Assaí;92,61087074
2019;5;4101903;Assaí;93,70135391
2022;1;4101903;Assaí;92,57706869
2019;4;4101903;Assaí;94,02184577
2021;4;4101903;Assaí;91,16624315
2021;2;4101903;Assaí;90,95225358
2024;2;4101903;Assaí;99,30419656
2021;3;4101903;Assaí;91,46716598
2024;11;4101903;Assaí;104,47848710
2022;8;4101903;Assaí;104,37776330
2021;12;4101903;Assaí;92,19172526
2023;9;4101903;Assaí;98,40545046
2020;10;4101903;Assaí;79,88498061
2020;11;4101903;Assaí;79,90504213
2023;11;4101903;Assaí;97,55744002
2022;7;4101903;Assaí;106,39994200
2019;3;4101903;Assaí;94,56471973
2024;3;4101903;Assaí;101,04370520
2023;7;4101903;Assaí;99,15198956
2020;12;4101903;Assaí;80,47345192
2023;10;4101903;Assaí;97,57193593
2021;8;4101903;Assaí;91,18442401
2020;4;4101903;Assaí;82,82293803
2019;6;4101903;Assaí;93,49859376
2020;3;4101903;Assaí;84,28467491
2022;6;4101903;Assaí;97,01189832
2024;8;4101903;Assaí;103,10049110
2021;5;4101903;Assaí;91,13949445
2022;12;4101903;Assaí;98,39095456
2020;1;4101903;Assaí;85,97129440
2023;12;4101903;Assaí;97,78937450
2022;10;4101903;Assaí;103,63122420
2024;9;4101903;Assaí;103,89210580
2022;3;4101903;Assaí;93,10438075
2019;9;4101903;Assaí;92,45981877
2023;3;4101903;Assaí;98,34021889
2020;7;4101903;Assaí;81,47652802
2024;7;4101903;Assaí;103,80414860
2023;1;4101903;Assaí;97,73863883
2023;6;4101903;Assaí;99,35493223
2022;9;4101903;Assaí;105,96506490
2019;10;4101903;Assaí;86,44090218
2023;4;4101903;Assaí;99,13749366
2021;7;4101903;Assaí;90,55570579
2022;5;4101903;Assaí;96,80232558
2024;1;4101903;Assaí;98,18076393
2023;8;4101903;Assaí;98,44169022
2022;11;4101903;Assaí;102,99340440
2019;2;4101903;Assaí;95,27110995
2021;10;4101903;Assaí;88,89264467
2019;8;4101903;Assaí;93,06171043
2021;11;4101903;Assaí;88,87912385
2024;4;4101903;Assaí;102,50054360
2019;7;4101903;Assaí;93,67683048
2020;6;4101903;Assaí;81,31490178
2023;2;4101903;Assaí;98,05754874
2020;8;4101903;Assaí;80,57375953
2020;2;4101903;Assaí;85,21727627
2024;6;4101903;Assaí;102,34108860
2021;6;4101903;Assaí;90,57777183
2019;11;4101903;Assaí;86,79806866
2021;1;4101903;Assaí;88,28407115
2022;4;4101903;Assaí;93,46944294
2020;9;4101903;Assaí;79,75792430
2019;12;4101903;Assaí;86,84436801
2024;5;4101903;Assaí;103,10937160
2021;9;4101903;Assaí;90,77203894
2019;1;4101903;Assaí;96,19988227
2020;5;4101903;Assaí;82,06891990
2024;10;4101903;Assaí;103,85545700
2023;5;4101903;Assaí;99,26070885
2021;5;4102406;Bandeirantes;89,57418859
2019;5;4102406;Bandeirantes;92,39675189
2022;1;4102406;Bandeirantes;89,26628248
2023;7;4102406;Bandeirantes;91,20327439
2023;8;4102406;Bandeirantes;91,59338727
2021;12;4102406;Bandeirantes;90,28685490
2019;4;4102406;Bandeirantes;92,24766859
2021;4;4102406;Bandeirantes;88,02665727
2022;3;4102406;Bandeirantes;86,80982583
2019;1;4102406;Bandeirantes;93,44985092
2024;8;4102406;Bandeirantes;91,71566007
2020;7;4102406;Bandeirantes;82,40363974
2020;11;4102406;Bandeirantes;82,43888373
2020;2;4102406;Bandeirantes;87,88216916
2022;7;4102406;Bandeirantes;90,55734979
2024;1;4102406;Bandeirantes;92,49832124
2022;6;4102406;Bandeirantes;89,54315701
2021;2;4102406;Bandeirantes;88,40472910
2019;8;4102406;Bandeirantes;92,11272994
2024;3;4102406;Bandeirantes;91,08815911
2023;10;4102406;Bandeirantes;92,87884117
2024;4;4102406;Bandeirantes;91,88757075
2021;8;4102406;Bandeirantes;89,63330221
2020;3;4102406;Bandeirantes;86,34233430
2024;7;4102406;Bandeirantes;91,86028233
2021;6;4102406;Bandeirantes;92,64682324
2020;1;4102406;Bandeirantes;88,80351962
2022;10;4102406;Bandeirantes;91,40472612
2022;9;4102406;Bandeirantes;90,80996387
2022;12;4102406;Bandeirantes;91,65414255
2021;7;4102406;Bandeirantes;89,80393419
2023;12;4102406;Bandeirantes;93,78057749
2019;11;4102406;Bandeirantes;90,20307967
2023;9;4102406;Bandeirantes;91,92914015
2019;7;4102406;Bandeirantes;92,73121433
2023;6;4102406;Bandeirantes;90,55415214
2021;11;4102406;Bandeirantes;84,60448794
2021;1;4102406;Bandeirantes;83,41930730
2020;10;4102406;Bandeirantes;81,70516805
2020;4;4102406;Bandeirantes;84,45181241
2023;4;4102406;Bandeirantes;90,19921338
2019;10;4102406;Bandeirantes;90,41667995
2020;5;4102406;Bandeirantes;83,60378742
2019;6;4102406;Bandeirantes;92,28573241
2022;2;4102406;Bandeirantes;86,69714433
2019;2;4102406;Bandeirantes;93,06286874
2023;1;4102406;Bandeirantes;89,93061107
2020;6;4102406;Bandeirantes;83,02993592
2021;3;4102406;Bandeirantes;88,20928519
2024;9;4102406;Bandeirantes;91,75967554
2019;9;4102406;Bandeirantes;91,43048427
2020;12;4102406;Bandeirantes;82,68879562
2022;5;4102406;Bandeirantes;88,75116706
2022;11;4102406;Bandeirantes;92,05704601
2023;2;4102406;Bandeirantes;89,42538292
2024;6;4102406;Bandeirantes;92,98116586
2021;9;4102406;Bandeirantes;91,22372107
2022;4;4102406;Bandeirantes;87,19616239
2021;10;4102406;Bandeirantes;85,24194327
2024;11;4102406;Bandeirantes;90,95796523
2024;2;4102406;Bandeirantes;91,62536373
2023;11;4102406;Bandeirantes;93,90528571
2019;3;4102406;Bandeirantes;92,64099473
2024;10;4102406;Bandeirantes;91,20005030
2024;5;4102406;Bandeirantes;92,71895885
2019;12;4102406;Bandeirantes;89,63879236
2020;8;4102406;Bandeirantes;82,01595591
2022;8;4102406;Bandeirantes;90,71723212
2023;5;4102406;Bandeirantes;90,64048860
2023;3;4102406;Bandeirantes;89,96578518
2020;9;4102406;Bandeirantes;81,16369229
2019;10;4102703;Barra do Jacaré;69,00395541
2022;6;4102703;Barra do Jacaré;98,70550162
2024;1;4102703;Barra do Jacaré;86,03411514
2022;7;4102703;Barra do Jacaré;100,56858560
2021;5;4102703;Barra do Jacaré;99,46062567
2022;2;4102703;Barra do Jacaré;100,21574970
2021;12;4102703;Barra do Jacaré;100,75512410
2023;10;4102703;Barra do Jacaré;89,62331201
2021;7;4102703;Barra do Jacaré;101,54620640
2020;8;4102703;Barra do Jacaré;61,84825602
2022;3;4102703;Barra do Jacaré;99,67637540
2023;9;4102703;Barra do Jacaré;92,21748401
2020;2;4102703;Barra do Jacaré;67,99712334
2020;1;4102703;Barra do Jacaré;68,78820568
2021;10;4102703;Barra do Jacaré;102,19345560
2023;4;4102703;Barra do Jacaré;86,63823738
2019;5;4102703;Barra do Jacaré;70,11866235
2022;4;4102703;Barra do Jacaré;100,00000000
2021;3;4102703;Barra do Jacaré;99,13700108
2023;11;4102703;Barra do Jacaré;89,69438522
2021;8;4102703;Barra do Jacaré;102,48112190
2023;3;4102703;Barra do Jacaré;88,30845771
2024;11;4102703;Barra do Jacaré;69,08583391
2020;10;4102703;Barra do Jacaré;61,16504854
2021;6;4102703;Barra do Jacaré;99,64041712
2023;1;4102703;Barra do Jacaré;93,10589908
2024;2;4102703;Barra do Jacaré;83,61762615
2022;11;4102703;Barra do Jacaré;95,84221748
2020;9;4102703;Barra do Jacaré;61,16504854
2019;8;4102703;Barra do Jacaré;69,97482920
2019;4;4102703;Barra do Jacaré;70,08270406
2023;7;4102703;Barra do Jacaré;89,33901919
2021;1;4102703;Barra do Jacaré;96,18842143
2022;10;4102703;Barra do Jacaré;98,00995025
2024;5;4102703;Barra do Jacaré;68,94100924
2020;7;4102703;Barra do Jacaré;62,99892125
2024;10;4102703;Barra do Jacaré;69,43475227
2023;6;4102703;Barra do Jacaré;89,41009240
2019;7;4102703;Barra do Jacaré;70,62207839
2022;12;4102703;Barra do Jacaré;94,98933902
2022;9;4102703;Barra do Jacaré;99,60909737
2021;2;4102703;Barra do Jacaré;98,09421072
2022;5;4102703;Barra do Jacaré;98,70550162
2020;6;4102703;Barra do Jacaré;63,46637900
2024;6;4102703;Barra do Jacaré;69,79388770
2019;9;4102703;Barra do Jacaré;69,47141316
2021;9;4102703;Barra do Jacaré;101,76195610
2024;8;4102703;Barra do Jacaré;67,96929518
2019;2;4102703;Barra do Jacaré;71,19741100
2023;2;4102703;Barra do Jacaré;91,75550817
2022;1;4102703;Barra do Jacaré;100,50341600
2020;3;4102703;Barra do Jacaré;66,59475009
2020;11;4102703;Barra do Jacaré;61,74038116
2024;7;4102703;Barra do Jacaré;68,24842987
2021;11;4102703;Barra do Jacaré;100,97087380
2019;12;4102703;Barra do Jacaré;68,89608055
2019;1;4102703;Barra do Jacaré;70,26249551
2020;5;4102703;Barra do Jacaré;63,89787846
2024;4;4102703;Barra do Jacaré;73,38308458
2023;12;4102703;Barra do Jacaré;87,20682303
2023;8;4102703;Barra do Jacaré;90,44065387
2022;8;4102703;Barra do Jacaré;98,89836532
2023;5;4102703;Barra do Jacaré;87,81094527
2021;4;4102703;Barra do Jacaré;99,67637540
2024;3;4102703;Barra do Jacaré;77,00781805
2020;4;4102703;Barra do Jacaré;65,01258540
2019;6;4102703;Barra do Jacaré;70,72995325
2019;3;4102703;Barra do Jacaré;70,37037037
2020;12;4102703;Barra do Jacaré;61,74038116
2024;9;4102703;Barra do Jacaré;68,00418702
2019;11;4102703;Barra do Jacaré;68,39266451
2023;9;4103602;Cambará;87,31581215
2019;12;4103602;Cambará;77,61041009
2022;8;4103602;Cambará;93,31753555
2024;1;4103602;Cambará;88,27229642
2021;7;4103602;Cambará;83,55430404
2020;8;4103602;Cambará;70,94557449
2024;4;4103602;Cambará;87,57001293
2019;10;4103602;Cambará;78,48186120
2019;8;4103602;Cambará;80,22476341
2020;6;4103602;Cambará;72,43296530
2022;1;4103602;Cambará;81,44628261
2022;10;4103602;Cambará;92,29211547
2019;9;4103602;Cambará;79,70820189
2022;3;4103602;Cambará;80,15565724
2022;12;4103602;Cambará;91,14174925
2021;5;4103602;Cambará;83,24432577
