Municipio;Código.IBGE.Município;AreaTerritorialkm22022;Populacaoresidentepessoas2022;Densidadedemograficahabkm22022;Escolarizacao6a14anos2010;IDHM2010;PIBpercapita2021
Abatiá;4100103;228,717;7241;31,66;96,5;0,687;30140,55
Andirá;4101101;235,944;19878;84,25;99,1;0,725;41191,94
Assaí;4101903;440,347;13797;31,33;98;0,728;36478,15
Bandeirantes;4102406;445,192;31273;70,25;97,8;0,727;33274,08
Barra do Jacaré;4102703;115,855;2814;24,29;98,7;0,744;53994,67
Cambará;4103602;366,153;23212;63,39;97,3;0,721;32034,21
Carlópolis;4104709;451,418;16905;37,45;98,1;0,713;31871,53
Congonhinhas;4106001;535,963;8320;15,52;98,7;0,668;32108,39
Conselheiro Mairinck;4106100;204,705;3461;16,91;98,7;0,707;39176,79
Cornélio Procópio;4106407;635,1;45206;71,18;98,7;0,759;37882,76
Curiúva;4107009;576,263;13647;23,68;98,7;0,656;18055,67
Figueira;4107751;129,769;8062;62,13;98,1;0,677;21181,49
Guapirama;4109005;189,1;4626;24,46;98,6;0,702;46978,22
Ibaiti;4109708;898,221;28830;32,1;96,5;0,71;27578,3
Itambaracá;4111001;207,342;5908;28,49;99,5;0,694;34321,07
Jaboti;4111704;139,277;5427;38,97;97,6;0,718;30019,41
Jacarezinho;4111803;602,528;40375;67,01;98,1;0,743;40697,5
Japira;4112306;187,802;4972;26,47;98,3;0,696;33157,3
Jataizinho;4112702;159,178;11813;74,21;97,9;0,687;22283,34
Joaquim Távora;4112801;289,173;11945;41,31;97,4;0,7;56092,66
Jundiaí do Sul;4112900;320,816;3333;10,39;99;0,688;39430,86
Leópolis;4113403;344,918;3752;10,88;98,8;0,707;58364,13
Nova América da Colina;4116604;129,476;3280;25,33;97,8;0,698;28507,42
Nova Fátima;4117008;283,423;7225;25,49;99,3;0,688;38786,71
Nova Santa Bárbara;4117214;76,887;4184;54,42;97,6;0,68;25733,07
Pinhalão;4119202;220,625;6566;29,76;99,4;0,697;39773,88
Quatiguá;4120705;112,689;8099;71,87;99;0,714;28269,42
Rancho Alegre;4121307;167,646;3512;20,95;98,3;0,707;49378,6
Ribeirão Claro;4121802;629,224;12364;19,65;98,2;0,716;36125,48
Ribeirão do Pinhal;4121901;374,732;13060;34,85;98,5;0,701;26269,94
Salto do Itararé;4122909;200,52;5192;25,89;98,5;0,704;21322,09
Santana do Itararé;4124004;251,269;5514;21,94;97,5;0,687;34909,63
Santa Amélia;4123105;78,045;3394;43,49;96,9;0,653;31442,18
Santa Cecília do Pavão;4123204;105,076;3365;32,02;97,7;0,723;47193,99
Santa Mariana;4123907;427,193;11066;25,9;98,2;0,7;42791,96
Santo Antônio da Platina;4124103;721,472;44369;61,5;96,2;0,718;32377,92
Santo Antônio do Paraíso;4124301;167,014;2125;12,72;97,7;0,716;52081,94
São Jerônimo da Serra;4124707;823,774;10830;13,15;96,2;0,637;29122,78
São José da Boa Vista;4125407;399,667;6040;15,11;99,2;0,671;37579,8
São Sebastião da Amoreira;4126009;226,872;8063;35,54;99;0,715;33860,14
Sapopema;4126207;677,609;6695;9,88;96,7;0,655;22942,31
Sertaneja;4126405;444,492;5616;12,63;99,6;0,725;80884,23
Siqueira Campos;4126603;278,035;22811;82,04;97,5;0,704;32901,6
Tomazina;4127809;591,438;8426;14,25;98,4;0,699;42105,95
Uraí;4128401;237,81;10406;43,76;98,6;0,721;32748,89
Wenceslau Braz;4128500;397,916;19188;48,22;98,2;0,687;36742,11
