"Código.IBGE.Município","Ano","Mês","UF","Município","Faixa.de.Velocidade","Velocidade","Tecnologia","Meio.de.Acesso","Tipo.de.Pessoa","Tipo.de.Produto","Acessos","Municipio","AreaTerritorialkm22022","Populacaoresidentepessoas2022","Densidadedemograficahabkm22022","Escolarizacao6a14anos2010","IDHM2010","PIBpercapita2021"
4102406,2022,7,"PR","Bandeirantes","> 34Mbps",100,"FTTB","Fibra","Pessoa Jurídica","INTERNET",183,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,3,"PR","Bandeirantes","> 34Mbps",50,"FTTH","Fibra","Pessoa Jurídica","INTERNET",111,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,12,"PR","Bandeirantes","12Mbps a 34Mbps",25,"ETHERNET","Fibra","Pessoa Jurídica","INTERNET",6,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,5,"PR","Bandeirantes","512kbps a 2Mbps",1,"VSAT","Satélite","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,3,"PR","Bandeirantes","2Mbps a 12Mbps",9.76563,"ADSL2","Cabo Metálico","Pessoa Física","INTERNET",56,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,1,"PR","Bandeirantes","512kbps a 2Mbps",1.95313,"ADSL2","Cabo Metálico","Pessoa Jurídica","INTERNET",9,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,9,"PR","Bandeirantes","0Kbps a 512Kbps",0.064,"ETHERNET","Fibra","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,12,"PR","Bandeirantes","512kbps a 2Mbps",0.97656,"ADSL1","Cabo Metálico","Pessoa Jurídica","INTERNET",2,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,2,"PR","Bandeirantes","> 34Mbps",100.00001,"FTTH","Fibra","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,3,"PR","Bandeirantes","2Mbps a 12Mbps",4.88281,"ADSL2","Cabo Metálico","Pessoa Jurídica","INTERNET",13,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,7,"PR","Bandeirantes","2Mbps a 12Mbps",2.048,"ADSL1","Cabo Metálico","Pessoa Jurídica","LINHA_DEDICADA",7,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,7,"PR","Bandeirantes","512kbps a 2Mbps",1,"DWDM","Fibra","Pessoa Jurídica","M2M",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,2,"PR","Bandeirantes","512kbps a 2Mbps",1,"FR","Cabo Metálico","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,12,"PR","Bandeirantes","2Mbps a 12Mbps",5,"ADSL2","Cabo Metálico","Pessoa Jurídica","INTERNET",11,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,1,"PR","Bandeirantes","12Mbps a 34Mbps",20,"ETHERNET","Fibra","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,7,"PR","Bandeirantes","12Mbps a 34Mbps",30,"VDSL","Cabo Metálico","Pessoa Física","INTERNET",2,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,2,"PR","Bandeirantes","512kbps a 2Mbps",1.95313,"ADSL2","Cabo Metálico","Pessoa Jurídica","INTERNET",9,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,3,"PR","Bandeirantes","12Mbps a 34Mbps",15,"VSAT","Satélite","Pessoa Física","INTERNET",14,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,5,"PR","Bandeirantes","12Mbps a 34Mbps",20,"VSAT","Satélite","Pessoa Física","INTERNET",11,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,5,"PR","Bandeirantes","2Mbps a 12Mbps",4,"FTTB","Fibra","Pessoa Jurídica","LINHA_DEDICADA",2,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,10,"PR","Bandeirantes","2Mbps a 12Mbps",10,"ADSL2","Cabo Metálico","Pessoa Física","INTERNET",49,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,10,"PR","Bandeirantes","2Mbps a 12Mbps",6,"ETHERNET","Rádio","Pessoa Física","INTERNET",68,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,9,"PR","Bandeirantes","2Mbps a 12Mbps",4,"FTTB","Fibra","Pessoa Jurídica","LINHA_DEDICADA",2,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,1,"PR","Bandeirantes","12Mbps a 34Mbps",15,"ADSL2","Cabo Metálico","Pessoa Jurídica","INTERNET",16,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,3,"PR","Bandeirantes","> 34Mbps",100,"ETHERNET","Fibra","Pessoa Jurídica","LINHA_DEDICADA",8,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,4,"PR","Bandeirantes","512kbps a 2Mbps",0.512,"VSAT","Satélite","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,6,"PR","Bandeirantes","2Mbps a 12Mbps",10,"ADSL2","Cabo Metálico","Pessoa Jurídica","INTERNET",33,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,11,"PR","Bandeirantes","2Mbps a 12Mbps",10,"FTTB","Fibra","Pessoa Jurídica","LINHA_DEDICADA",3,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,10,"PR","Bandeirantes","0Kbps a 512Kbps",0.256,"VSAT","Satélite","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,1,"PR","Bandeirantes","512kbps a 2Mbps",1,"VSAT","Satélite","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,6,"PR","Bandeirantes","512kbps a 2Mbps",2,"ADSL2","Cabo Metálico","Pessoa Física","INTERNET",26,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,8,"PR","Bandeirantes","12Mbps a 34Mbps",15,"ADSL2","Cabo Metálico","Pessoa Física","INTERNET",94,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,2,"PR","Bandeirantes","512kbps a 2Mbps",0.58594,"ADSL1","Cabo Metálico","Pessoa Física","INTERNET",2,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,2,"PR","Bandeirantes","> 34Mbps",50,"ETHERNET","Fibra","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,4,"PR","Bandeirantes","12Mbps a 34Mbps",20,"ETHERNET","Fibra","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,8,"PR","Bandeirantes","> 34Mbps",100,"FTTB","Fibra","Pessoa Física","INTERNET",5248,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,10,"PR","Bandeirantes","> 34Mbps",100,"FTTB","Fibra","Pessoa Física","INTERNET",5241,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,9,"PR","Bandeirantes","512kbps a 2Mbps",2,"ETHERNET","Fibra","Pessoa Jurídica","LINHA_DEDICADA",13,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,4,"PR","Bandeirantes","2Mbps a 12Mbps",8,"ADSL2","Cabo Metálico","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,2,"PR","Bandeirantes","> 34Mbps",50,"FTTH","Fibra","Pessoa Jurídica","INTERNET",94,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,3,"PR","Bandeirantes","0Kbps a 512Kbps",0.0625,"FR","Cabo Metálico","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,6,"PR","Bandeirantes","512kbps a 2Mbps",1,"FTTB","Fibra","Pessoa Jurídica","LINHA_DEDICADA",3,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,1,"PR","Bandeirantes","2Mbps a 12Mbps",10,"ADSL2","Cabo Metálico","Pessoa Jurídica","INTERNET",14,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,11,"PR","Bandeirantes","> 34Mbps",35,"ETHERNET","Fibra","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,6,"PR","Bandeirantes","512kbps a 2Mbps",2,"ADSL1","Cabo Metálico","Pessoa Jurídica","INTERNET",20,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,11,"PR","Bandeirantes","512kbps a 2Mbps",2,"ADSL1","Cabo Metálico","Pessoa Jurídica","INTERNET",19,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,10,"PR","Bandeirantes","> 34Mbps",50,"FTTH","Fibra","Pessoa Jurídica","INTERNET",116,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,7,"PR","Bandeirantes","512kbps a 2Mbps",1,"VSAT","Satélite","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,6,"PR","Bandeirantes","2Mbps a 12Mbps",2.048,"ADSL1","Cabo Metálico","Pessoa Jurídica","LINHA_DEDICADA",7,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,11,"PR","Bandeirantes","0Kbps a 512Kbps",0.5,"FTTB","Fibra","Pessoa Jurídica","LINHA_DEDICADA",2,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,7,"PR","Bandeirantes","512kbps a 2Mbps",2,"ADSL1","Cabo Metálico","Pessoa Física","INTERNET",56,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,7,"PR","Bandeirantes","12Mbps a 34Mbps",20,"ADSL2","Cabo Metálico","Pessoa Física","INTERNET",5,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,11,"PR","Bandeirantes","512kbps a 2Mbps",1,"ADSL1","Cabo Metálico","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,2,"PR","Bandeirantes","2Mbps a 12Mbps",5,"ETHERNET","Fibra","Pessoa Jurídica","LINHA_DEDICADA",11,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,1,"PR","Bandeirantes","2Mbps a 12Mbps",10,"FTTB","Fibra","Pessoa Jurídica","LINHA_DEDICADA",2,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,10,"PR","Bandeirantes","512kbps a 2Mbps",1,"FR","Cabo Metálico","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,3,"PR","Bandeirantes","> 34Mbps",100,"FTTH","Fibra","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,11,"PR","Bandeirantes","> 34Mbps",50,"FTTH","Fibra","Pessoa Jurídica","INTERNET",118,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,2,"PR","Bandeirantes","512kbps a 2Mbps",1,"VSAT","Satélite","Pessoa Jurídica","INTERNET",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,6,"PR","Bandeirantes","12Mbps a 34Mbps",25,"ETHERNET","Fibra","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,4,"PR","Bandeirantes","512kbps a 2Mbps",1,"FTTB","Fibra","Pessoa Jurídica","LINHA_DEDICADA",3,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,4,"PR","Bandeirantes","2Mbps a 12Mbps",4,"FTTB","Fibra","Pessoa Jurídica","LINHA_DEDICADA",2,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,3,"PR","Bandeirantes","12Mbps a 34Mbps",20,"VSAT","Satélite","Pessoa Física","INTERNET",10,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,9,"PR","Bandeirantes","2Mbps a 12Mbps",5,"ETHERNET","Fibra","Pessoa Jurídica","LINHA_DEDICADA",5,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
4102406,2022,11,"PR","Bandeirantes","512kbps a 2Mbps",0.512,"FTTH","Fibra","Pessoa Jurídica","LINHA_DEDICADA",1,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08
