Código.IBGE.Município;Município;Tecnologia.Geração;Tipo.de.Pessoa;Tipo.de.Produto;Modalidade.de.Cobrança;Acessos
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;2
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;2G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;2G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;2G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;2G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;2G;Pessoa Física;VOZ+DADOS;Pré-pago;3
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pós-pago;2
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;2G;Pessoa Física;VOZ+DADOS;Pré-pago;2
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;2
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;7
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;2G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pós-pago;2
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;6
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;7
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;2
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;2G;Pessoa Física;VOZ+DADOS;Pré-pago;2
4100103;Abatiá;2G;Pessoa Física;VOZ+DADOS;Pré-pago;3
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;7
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pós-pago;5
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pós-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;2G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;2G;Pessoa Física;VOZ+DADOS;Pré-pago;2
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;3
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;2
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;2
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;2G;Pessoa Física;VOZ+DADOS;Pré-pago;3
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pós-pago;1
4100103;Abatiá;2G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;DADOS;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pós-pago;3
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;3G;Pessoa Física;DADOS;Pós-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;2
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;2
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;2G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;6
4100103;Abatiá;4G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;2
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;4G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;2G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;2G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pré-pago;1
4100103;Abatiá;2G;Pessoa Jurídica;M2M;Pós-pago;1
4100103;Abatiá;3G;Pessoa Jurídica;PONTO_DE_SERVICO;Pós-pago;1
4100103;Abatiá;4G;Pessoa Física;VOZ+DADOS;Pós-pago;1
