"Código.IBGE.Município","Municipio","AreaTerritorialkm22022","Populacaoresidentepessoas2022","Densidadedemograficahabkm22022","Escolarizacao6a14anos2010","IDHM2010","PIBpercapita2021","razao_social","cnpj","velocidade_contratada_mbps","uf","municipio","municipio_uf"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Sercomtel S.A. Participações","04.459.311/0001-74",1,"PR","Bandeirantes","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Sercomtel S.A. Participações","04.459.311/0001-74",60,"PR","Bandeirantes","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Sercomtel S.A. Participações","04.459.311/0001-74",50,"PR","BANDEIRANTES","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Sercomtel S.A. Participações","04.459.311/0001-74",10,"PR","Bandeirantes","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Oi S.A.","76.535.764/0001-43",0.5,"PR","BANDEIRANTES","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Sercomtel S.A. Participações","04.459.311/0001-74",6,"PR","Bandeirantes","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Sercomtel S.A. Participações","04.459.311/0001-74",0.128,"PR","Bandeirantes","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Sercomtel S.A. Participações","04.459.311/0001-74",2,"PR","Bandeirantes","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Sercomtel S.A. Participações","04.459.311/0001-74",10,"PR","Bandeirantes","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Sercomtel S.A. Participações","04.459.311/0001-74",0.256,"PR","BANDEIRANTES","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Sercomtel S.A. Participações","04.459.311/0001-74",0.4,"PR","Bandeirantes","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Oi S.A.","76.535.764/0001-43",8,"PR","BANDEIRANTES","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"OI MOVEL S.A.","05.423.963/0001-11",2,"PR","BANDEIRANTES","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Sercomtel S.A. Participações","04.459.311/0001-74",2,"PR","Bandeirantes","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Sercomtel S.A. Participações","04.459.311/0001-74",1.5,"PR","Bandeirantes","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Sercomtel S.A. Participações","04.459.311/0001-74",12,"PR","Bandeirantes","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"CLARO S.A","40.432.544/0001-47",0.5,"PR","BANDEIRANTES","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Sercomtel S.A. Participações","04.459.311/0001-74",100,"PR","Bandeirantes","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Oi S.A.","76.535.764/0001-43",2,"PR","BANDEIRANTES","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Oi S.A.","76.535.764/0001-43",4,"PR","BANDEIRANTES","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Sercomtel S.A. Participações","04.459.311/0001-74",0.256,"PR","Bandeirantes","Bandeirantes - PR"
4102406,"Bandeirantes",445.192,31273,70.25,97.8,0.727,33274.08,"Sercomtel S.A. Participações","04.459.311/0001-74",20,"PR","Bandeirantes","Bandeirantes - PR"
